0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
49,55,17,21,22,52,62,47,7,50,25,53,42,23,13,46,45,26,39,3,34,60,57,1,30,5,16,4,8,10,58,0,14,2,37,35,59,20,36,6,28,24,9,12,51,11,40,38,19,33,54,32,63,43,18,29,56,48,41,15,31,44,27,61
46,48,41,8,61,60,15,12,23,35,47,21,13,59,2,30,24,55,57,38,34,28,3,40,18,25,58,43,26,44,17,56,22,39,0,20,42,9,31,6,1,29,51,45,37,52,16,62,27,54,7,19,63,49,11,33,50,32,14,10,36,53,5,4
40,41,61,7,34,15,52,26,0,13,60,17,56,4,33,31,27,11,50,46,62,22,55,39,25,53,38,43,5,59,51,37,48,57,1,19,3,42,28,63,8,54,9,29,58,18,16,35,47,36,20,10,14,24,21,30,44,45,2,49,32,6,23,12
16,43,55,45,48,46,63,51,38,3,40,0,11,15,52,27,4,34,42,47,18,28,23,32,19,8,24,54,9,33,5,37,1,50,26,7,25,13,2,59,14,21,56,57,61,17,10,31,30,36,49,6,60,20,41,53,62,12,29,35,22,39,44,58
60,36,57,63,9,45,14,28,17,61,35,40,59,46,29,12,19,22,25,18,10,44,33,47,0,20,1,56,34,48,54,3,43,30,5,11,39,13,32,62,27,31,49,53,16,24,52,41,8,2,50,58,42,38,26,55,23,7,21,51,37,4,15,6
52,1,43,46,4,39,58,7,51,41,24,55,14,38,19,13,48,44,18,60,49,35,12,34,29,37,25,26,63,53,36,31,6,17,40,59,3,45,16,42,62,10,57,2,22,28,27,54,47,32,0,11,33,50,9,15,30,5,8,56,61,23,21,20
29,38,7,12,62,40,19,54,6,31,33,60,13,57,34,52,55,45,3,11,0,58,63,30,27,22,32,26,59,4,5,1,56,50,44,53,21,16,8,9,39,41,14,2,46,43,61,36,51,28,15,20,48,10,37,17,42,23,24,18,49,47,25,35
33,59,9,54,47,48,19,7,62,24,26,14,4,46,32,63,12,30,3,35,18,29,22,61,58,23,43,17,53,13,42,16,57,6,0,56,36,15,2,5,52,20,49,1,27,8,37,41,31,60,50,34,45,10,28,51,38,11,55,21,25,44,39,40
7,27,36,16,23,24,60,21,3,5,46,57,34,25,4,10,26,19,1,55,11,38,43,30,47,15,31,33,59,50,45,49,37,42,0,14,48,32,63,53,29,28,52,51,17,61,39,22,56,20,58,18,40,12,44,62,41,13,2,35,8,9,54,6
3,23,21,18,42,24,58,9,26,11,38,39,8,6,46,30,48,50,33,19,61,15,10,5,41,31,17,7,12,57,53,45,27,40,32,4,44,54,22,49,1,28,2,55,51,52,14,25,37,36,20,47,62,56,13,16,43,35,29,34,0,59,60,63
7,27,63,54,19,37,56,10,11,1,38,12,57,46,29,48,21,40,4,49,0,42,28,62,59,60,43,45,23,47,33,58,39,3,8,6,34,41,15,55,52,30,14,17,16,9,61,44,22,31,5,25,24,36,26,51,18,53,50,2,20,35,13,32
0,19,30,6,32,12,2,41,29,36,26,54,58,62,8,44,56,9,11,24,1,59,55,22,31,13,14,47,7,52,57,39,16,10,43,27,33,60,35,53,17,46,49,25,4,50,21,38,37,48,3,51,15,63,42,5,34,23,28,61,40,45,18,20
9,61,41,5,11,62,45,26,25,34,28,44,16,37,36,47,48,7,30,1,57,49,18,15,60,39,14,33,12,40,13,3,24,58,59,38,56,0,21,29,63,27,50,54,31,42,8,51,46,35,19,4,22,43,17,6,2,52,55,23,53,32,10,20
2,30,49,42,53,8,14,25,28,39,55,5,60,23,45,17,4,38,15,1,41,34,32,50,59,58,37,43,21,57,26,18,20,22,33,63,6,46,19,27,35,11,47,48,3,44,31,12,51,36,24,7,40,54,0,29,52,16,56,62,61,9,13,10
18,54,37,58,40,3,5,12,47,13,61,27,60,34,44,46,43,16,11,20,4,15,38,23,31,53,36,7,26,30,50,32,33,6,55,22,0,42,9,41,29,1,25,57,24,8,10,2,35,19,62,17,52,21,63,49,59,39,56,48,45,28,14,51
33,12,43,53,27,62,0,47,39,17,16,5,8,7,29,52,3,36,28,54,38,6,55,10,59,25,41,49,45,11,32,24,40,1,35,57,19,63,13,58,4,61,14,15,46,30,34,9,21,60,44,2,48,51,42,20,31,26,56,23,18,37,22,50
30,5,51,17,49,41,33,47,7,62,44,54,1,58,10,3,18,22,27,9,13,4,61,16,21,26,42,31,20,40,24,43,59,19,60,48,15,56,29,11,50,53,25,0,12,63,45,36,28,55,23,6,57,52,37,2,46,39,32,8,34,35,14,38
51,31,30,61,28,27,46,14,5,20,0,6,41,43,39,23,57,50,21,22,54,63,45,38,49,24,18,60,11,1,47,56,2,10,36,4,35,16,25,58,44,29,32,3,26,7,19,17,42,13,55,15,48,33,62,52,40,59,37,9,8,12,34,53
6,55,4,49,19,0,45,41,33,21,3,8,5,40,37,23,39,12,18,48,29,11,17,50,63,51,20,42,9,53,54,7,43,56,38,62,60,30,2,31,32,52,22,26,36,16,1,47,10,14,61,46,58,25,27,44,24,35,15,57,28,59,13,34
54,22,40,18,30,6,3,26,34,24,38,49,58,41,16,46,2,36,63,53,59,33,42,21,62,11,5,20,32,52,56,60,45,23,8,35,7,29,4,1,27,51,44,55,50,9,39,14,31,0,43,12,47,48,28,61,17,13,37,57,25,19,10,15
20,30,2,62,48,37,26,29,13,15,12,14,47,55,23,27,54,39,0,18,44,1,3,38,31,7,34,9,40,24,16,35,5,10,63,60,46,57,4,43,50,33,49,28,17,41,32,42,21,58,53,45,22,52,8,11,51,61,36,56,6,59,25,19
44,43,5,46,34,28,53,49,3,55,41,21,38,23,56,11,12,2,24,52,51,10,1,32,59,13,15,33,62,30,20,40,0,14,9,61,22,37,63,6,60,54,17,16,25,42,27,39,18,35,45,8,48,26,29,47,7,19,31,36,50,58,57,4
52,58,14,30,46,11,2,51,12,3,20,34,21,6,45,31,42,0,29,13,4,44,53,63,7,50,22,17,56,23,37,18,40,15,38,61,41,39,24,55,26,62,32,47,27,10,36,28,54,25,9,1,59,5,16,60,33,19,35,49,57,8,48,43
55,5,53,46,61,63,60,24,43,58,50,33,16,17,19,6,28,0,18,37,44,8,56,38,62,59,23,14,22,52,21,20,29,15,51,41,31,10,48,42,26,1,36,13,4,49,57,2,45,25,12,40,35,11,3,27,7,47,54,9,32,34,39,30
63,21,50,61,18,35,8,48,22,23,24,14,10,20,28,6,15,3,2,62,39,25,43,60,40,54,16,1,42,46,31,37,59,27,45,56,4,17,19,26,29,7,13,30,34,0,38,33,41,47,36,5,51,11,49,55,44,53,9,12,58,52,32,57
23,28,19,62,43,55,26,56,11,30,8,35,3,36,29,1,41,51,5,59,47,34,44,32,61,12,21,9,46,14,20,45,15,33,38,39,0,42,63,31,16,60,53,57,22,49,13,48,2,24,37,54,7,27,58,10,4,6,18,40,17,25,52,50
23,24,19,26,61,12,15,47,53,33,37,58,13,5,59,41,8,54,1,36,11,48,63,27,7,21,49,25,20,31,56,46,0,40,6,28,32,45,10,51,35,57,43,52,29,50,22,55,42,44,9,18,4,3,38,34,16,39,2,14,17,30,60,62
10,4,35,42,50,7,14,28,5,62,49,9,24,31,19,37,41,18,34,40,55,58,56,27,11,46,36,13,54,43,3,53,15,25,45,61,30,47,57,44,29,22,32,1,23,63,17,26,33,38,2,6,52,8,59,21,48,51,16,20,60,39,0,12
41,26,31,0,1,42,2,37,43,16,62,18,38,27,25,51,46,45,48,17,10,11,61,33,13,7,53,50,6,24,21,15,57,58,36,59,63,3,12,35,52,4,34,23,55,28,40,30,54,44,60,20,49,32,56,14,8,19,9,5,47,29,39,22
